Pressure (P),Temperature (T),Z (Pitzer),Z (PR)
120,300,0.9738761671878419,0.9932214905998713
120,301,0.9747970253757003,0.9939414250358982
120,302,0.9757046059018404,0.9946512361675897
120,303,0.9765991256606861,0.995351083589246
120,304,0.9774807973954917,0.996041123898407
120,305,0.9783498297903468,0.9967215107618757
120,306,0.9792064275598574,0.9973923949800924
120,307,0.9800507915365679,0.9980539245498908
120,308,0.9808831187561887,0.9987062447256964
120,309,0.9817036025406901,0.9993494980791886
120,310,0.9825124325793245,0.9999838245574932
120,311,0.9833097950076335,1.0006093615399259
120,312,0.9840958724844958,1.0012262438933344
120,313,0.9848708442672724,1.0018346040260762
120,314,0.9856348862851005,1.002434571940674
120,315,0.9863881712103868,1.0030262752851764
120,316,0.987130868528552,1.0036098394032598
120,317,0.9878631446060725,1.00418538738311
120,318,0.9885851627568675,1.0047530401051246
120,319,0.9892970833070751,1.0053129162884389
120,320,0.9899990636582637,1.005865132536358
120,321,0.9906912583491185,1.0064098033806474
120,322,0.9913738191156463,1.006947041324806
130,273,0.9383254863594049,0.9716484149777869
130,274,0.9398199405829026,0.9727400946043206
130,275,0.941291518786694,0.9738156800033417
130,276,0.9427406266702605,0.9748754425338474
130,277,0.9441676614529894,0.9759196481781593
130,278,0.9455730120799188,0.9769485576613288
130,279,0.9469570594217847,0.9779624265678578
130,280,0.9483201764695484,0.9789615054557933
130,281,0.9496627285235764,0.9799460399682188
130,282,0.9509850733776364,0.9809162709421995
130,283,0.9522875614978706,0.9818724345152371
130,284,0.9535705361969,0.9828147622292343
130,285,0.9548343338032078,0.9837434811320924
130,286,0.9560792838259482,0.9846588138769121
130,287,0.9573057091153163,0.9855609788188979
130,288,0.9585139260186166,0.9864501901099856
130,289,0.9597042445321579,0.9873266577912514
130,290,0.9608769684491009,0.9881905878831507
130,291,0.9620323955033792,0.9890421824736257
130,292,0.9631708175098119,0.9898816398041406
130,293,0.9642925205005208,0.9907091543536726
130,294,0.9653977848577601,0.9915249169207279
130,295,0.9664868854432676,0.9923291147034088
130,296,0.9675600917242378,0.9931219313775781
130,297,0.968617667896017,0.9939035471731836
130,298,0.9696598730016149,0.9946741389487586
130,299,0.9706869610481279,0.995433880264164
130,300,0.971699181120162,0.9961829414516006
130,301,0.972696777490342,0.996921489684937
130,302,0.9736799897269938,0.9976496890473945
130,303,0.9746490527990765,0.9983677005976312
130,304,0.9756041971784493,0.9990756824342553
130,305,0.9765456489395423,0.9997737897588082
130,306,0.9774736298565122,1.0004621749372735
130,307,0.9783883574979486,1.001140987560113
130,308,0.9792900453192044,1.0018103745009008
130,309,0.9801789027524143,1.0024704799735633
130,310,0.9810551352942682,1.0031214455882844
130,311,0.9819189445916029,1.003763410406076
130,312,0.9827705285248705,1.0043965109920951
130,313,0.9836100812895452,1.005020881467675
130,314,0.9844377934755255,1.0056366535611714
130,315,0.9852538521445857,1.0062439566575978
130,316,0.9860584409059313,1.0068429178471132
130,317,0.9868517399899119,1.0074336619723738
130,318,0.9876339263199397,1.0080163116747825
130,319,0.9884051735826648,1.0085909874396746
130,320,0.9891656522964524,1.0091578076404466
130,321,0.9899155298782117,1.0097168885816619
130,322,0.9906549707086167,1.0102683445411693
140,273,0.9335812930024361,0.9746272553410955
