Pressure (P),Temperature (T),Z (Pitzer),Z (PR),Z (RK)
50,275,0.8866233277347143,0.8657793563315132,0.8840271454533082
50,276,0.8880589000735943,0.8674994279848817,0.885603956717226
50,277,0.8894744892081047,0.8691924295314052,0.8871546872525871
50,278,0.8908704355708366,0.8708589539220838,0.8886799286362614
50,279,0.8922470726478166,0.8724995762852226,0.8901802543142723
50,280,0.8936047271441351,0.8741148546361722,0.8916562203299807
50,281,0.8949437191450516,0.8757053305511809,0.8931083660153398
50,282,0.8962643622727169,0.8772715298075484,0.8945372146474921
50,283,0.8975669638386486,0.8788139629921543,0.8959432740728381
50,284,0.8988518249920866,0.8803331260802743,0.8973270373005224
50,285,0.9001192408643549,0.881829500986413,0.8986889830671614
50,286,0.9013695007093527,0.8833035560888554,0.9000295763745243
50,287,0.9026028880402895,0.8847557467294179,0.9013492690017
50,288,0.903819680762778,0.8861865156898705,0.9026484999932893
50,289,0.9050201513043936,0.8875962936463211,0.9039276961249099
50,290,0.9062045667408096,0.8889854996028219,0.90518727234736
50,291,0.9073731889186031,0.890354541305362,0.9064276322105806
50,292,0.9085262745748388,0.8917038156373098,0.9076491682685677
50,293,0.9096640754535191,0.8930337089973271,0.9088522624662514
50,294,0.9107868384189979,0.8943445976607112,0.9100372865093294
50,295,0.9118948055664432,0.8956368481250175,0.911204602217953
50,296,0.9129882143294396,0.8969108174408379,0.9123545618651445
50,297,0.9140672975848092,0.8981668535284824,0.9134875085007168
50,298,0.9151322837547362,0.8994052954812964,0.9146037762614652
50,299,0.9161833969062703,0.9006264738563148,0.9157036906683436
50,300,0.9172208568482862,0.9018307109528814,0.9167875689112619
50,301,0.9182448792259728,0.9030183210798466,0.9178557201221571
50,302,0.919255675612921,0.9041896108119162,0.918908445636907
50,303,0.9202534536008817,0.9053448792356741,0.919946039246635
50,304,0.9212384168872579,0.9064844181857986,0.9209687874389476
50,305,0.9222107653603967,0.9076085124719379,0.921976969629567
50,306,0.923170695182743,0.9087174400966983,0.9229708583848297
50,307,0.9241183988719159,0.9098114724651675,0.9239507196355092
50,308,0.9250540653797654,0.9108908745863626,0.9249168128823271
50,309,0.9259778801694667,0.9119559052670029,0.9258693913935898
50,310,0.9268900252907067,0.9130068172979353,0.9268087023952749
50,311,0.927790679453016,0.9140438576335688,0.9277349872539584
50,312,0.9286800180972982,0.9150672675646294,0.9286484816528568
50,313,0.9295582134656053,0.9160772828845442,0.9295494157613513
50,314,0.9304254346692097,0.9170741340497166,0.9304380143982325
50,315,0.9312818477550173,0.9180580463339952,0.9313144971890013
50,316,0.9321276157703688,0.9190292399775822,0.9321790787174262
50,317,0.9329628988262731,0.919987930330592,0.9330319686716733
50,318,0.9337878541591145,0.9209343279915505,0.9338733719851777
50,319,0.9346026361908766,0.9218686389409984,0.934703488972555
50,320,0.9354073965879224,0.9227910646704378,0.9355225154606897
50,321,0.936202284318369,0.9237018023068018,0.9363306429152718
50,322,0.9369874457080964,0.9246010447326541,0.9371280585629185
60,273,0.8604290031449033,0.8382095407694161,0.8590883702953904
60,274,0.8622009095704197,0.840339486490099,0.8610604514977043
60,275,0.8639479932816572,0.842434260774392,0.8629982633706546
60,276,0.8656706800883132,0.8444946923241942,0.8649026421338857
